id,category,title,titleUpper,language,bgClass,description,amount,noOfDocuments,estimatedTime,processingTime,documentsRequired
1,E-Service,First Graduate Certificate,FIRST GRADUATE CERTIFICATE,English,bg-gradient-to-br from-teal-700 to-teal-900,"A First Graduate Certificate is an official document that certifies an individual as the first person in their family to graduate from college. This certificate is often required to avail of specific educational benefits, scholarships, and fee concessions.",₹100.00,10,30 mins,10-15 Days,"Applicant Photo|Applicant Aadhar Card|Smart Card|Applicant Transfer Certificate|Applicant Marksheet|Applicant Brother / Sister TC & Marksheet|Applicant அம்மா அப்பா பையர், வயது மற்றும் படிப்பு|Applicant அப்பாவின் அம்மா அப்பா, பையர் வயது மற்றும் படிப்பு|Applicant அம்மாவின் அம்மா அப்பா, பையர் வயது மற்றும் படிப்பு|Applicant Signature"
2,E-Service,Indira Gandhi National Old Age Pension Scheme,INDIRA GANDHI OLD AGE PENSION SHEME,English,bg-gradient-to-br from-green-600 to-green-800,"The Indira Gandhi National Old Age Pension Scheme provides financial assistance to elderly individuals living below the poverty line. It aims to provide social security and support for senior citizens.",₹100.00,5,30 mins,10-15 Days,"Applicant Photo|Applicant Aadhar Card|Smart Card|Age Proof Certificate|Income Certificate"
3,E-Service,Income Certificate,INCOME CERTIFICATE,English,bg-gradient-to-br from-purple-600 to-purple-800,"An Income Certificate is an official statement provided by the state government confirming the annual income of a person or a family. It is generally required to claim scholarships or fee concessions.",₹60.00,4,20 mins,7-10 Days,"Applicant Photo|Applicant Aadhar Card|Smart Card|Salary Slip / IT Return"
4,E-Service,Deserted Woman Certificate,DESERTED WOMAN CERTIFICATE,English,bg-gradient-to-br from-gray-800 to-black,"This certificate is issued to women who have been deserted by their husbands, to help them avail various welfare schemes and financial assistance from the government.",₹60.00,6,30 mins,10-15 Days,"Applicant Photo|Applicant Aadhar Card|Smart Card|Marriage Certificate|FIR or Legal Document showing desertion|Applicant Signature"
5,E-Service,Inter-caste Marriage certificate,INTER-CAST MARRIAGE CERTIFICATE,English,bg-gradient-to-br from-orange-500 to-orange-700,"Certificate for inter-caste marriages, required for government benefits and incentives.",₹100.00,5,30 mins,10-15 Days,"Applicant Photo|Applicant Aadhar Card|Spouse Aadhar Card|Marriage Registration Certificate|Community Certificates of both"
6,E-Service,Family Migration Certificate,FAMILY MIGRATION CERTIFICATE,English,bg-gradient-to-br from-gray-500 to-gray-700,"Issued when a family relocates to a new region, useful for transferring benefits and registrations.",₹100.00,4,20 mins,7-10 Days,"Head of Family Photo|Aadhar Cards of all members|Smart Card|Proof of New Address"
7,E-Service,Other Backward Classes (OBC) Certificate,OBC CERTIFICATE,English,bg-gradient-to-br from-fuchsia-600 to-purple-700,"Proof of belonging to the OBC category for educational and employment reservations.",₹60.00,5,20 mins,7-15 Days,"Applicant Photo|Applicant Aadhar Card|Smart Card|School TC|Parent's Community Certificate"
8,E-Service,Widow Certificate,WIDOW CERTIFICATE,English,bg-gradient-to-br from-purple-800 to-purple-900,"Provides financial aid and welfare scheme eligibility for widowed women.",₹60.00,5,30 mins,10-15 Days,"Applicant Photo|Applicant Aadhar Card|Smart Card|Husband's Death Certificate|Legal Heir Certificate"
9,E-Service,No Male Child Certificate,NO MALE CHILD CERTIFICATE,English,bg-gradient-to-br from-red-800 to-red-950,"Required for specific welfare schemes for families with only female children.",₹60.00,4,20 mins,10-15 Days,"Parents Photo|Aadhar Cards of Parents|Smart Card|Birth Certificates of Children"
10,E-Service,Community Certificate,COMMUNITY CERTIFICATE,English,bg-gradient-to-br from-gray-800 to-gray-900 text-red-500,"Official proof of one's caste or community for reservation benefits.",₹60.00,4,20 mins,7-15 Days,"Applicant Photo|Applicant Aadhar Card|Smart Card|School TC or Parent's Certificate"
11,E-Service,Nativity Certificate,NATIVITY CERTIFICATE,English,bg-gradient-to-br from-red-600 to-red-700 text-yellow-400,"Certifies that a person has been residing in a specific state for a minimum required period.",₹60.00,5,30 mins,10-15 Days,"Applicant Photo|Applicant Aadhar Card|Smart Card|Birth Certificate|Property Tax / EB Bill"
12,E-Service,Unemployment Certificate,UNEMPLOYMENT CERTIFICATE,English,bg-gradient-to-br from-orange-600 to-orange-700,"Issued to educated unemployed youth for government aid and special schemes.",₹60.00,4,20 mins,10 Days,"Applicant Photo|Applicant Aadhar Card|Employment Exchange ID|Educational Certificates"
13,Card Service,PAN Card Application,PAN CARD APPLICATION,English,bg-gradient-to-br from-blue-600 to-blue-800,"Apply for a new Permanent Account Number (PAN) card for financial transactions and tax purposes.",₹250.00,3,15 mins,15-20 Days,"Applicant Photo|Applicant Aadhar Card|Signature"
14,Card Service,Voter ID Registration,VOTER ID REGISTRATION,English,bg-gradient-to-br from-blue-700 to-blue-900,"Register as a new voter and obtain an Electoral Photo Identity Card (EPIC).",₹50.00,3,20 mins,30 Days,"Applicant Photo|Applicant Aadhar Card|Address Proof"
15,Card Service,Aadhaar Card Update,AADHAAR CARD UPDATE,English,bg-gradient-to-br from-yellow-500 to-yellow-600,"Update demographic or biometric details on your existing Aadhaar Card.",₹100.00,2,15 mins,7-10 Days,"Existing Aadhar Card|Valid Supporting Document for Update"
16,Card Service,Smart Card Services,SMART CARD SERVICES,English,bg-gradient-to-br from-green-500 to-green-700,"Apply for a new family Smart Card or make corrections to an existing one.",₹60.00,3,20 mins,15 Days,"Head of Family Photo|Aadhar Cards of all members|Address Proof"
17,Bank Service,Account Opening,ACCOUNT OPENING,English,bg-gradient-to-br from-teal-500 to-teal-700,"Open a new savings or current bank account quickly and securely.",₹0.00,4,30 mins,Immediate,"Applicant Photo|Applicant Aadhar Card|PAN Card|Initial Deposit Amount"
18,Bank Service,Money Transfer,MONEY TRANSFER,English,bg-gradient-to-br from-indigo-500 to-indigo-700,"Securely transfer money to any bank account across the country.",Varies,2,10 mins,Immediate,"Sender Aadhar/ID|Recipient Account Details"
19,Bank Service,Loan Application,LOAN APPLICATION,English,bg-gradient-to-br from-red-500 to-red-700,"Apply for personal, agricultural, or business loans with competitive rates.",₹500.00,6,45 mins,15-30 Days,"Applicant Photo|Applicant Aadhar Card|PAN Card|Income Proof / IT Returns|Bank Statements|Property Documents (if applicable)"
20,Bank Service,Cash Withdrawal,CASH WITHDRAWAL,English,bg-gradient-to-br from-gray-700 to-gray-900,"Withdraw cash easily using Micro-ATM and AePS services.",₹0.00,2,5 mins,Immediate,"Aadhar Card linked to Bank|Biometric Authentication"
